strain_no,Institute,Location,HR
CDC317,UCD,Europe,False
CDC335,CDC,USA,False
CDC336,CDC,USA,False
CDC337,CDC,USA,False
CDC338,CDC,USA,False
CDC339,CDC,USA,False
CDC340,CDC,USA,False
CDC342,CDC,USA,False
CDC343,CDC,USA,True
CDC344,CDC,USA,True
E1,PUMCH,China,False
E10,PUMCH,China,False
E11,PUMCH,China,False
E12,PUMCH,China,False
E13,PUMCH,China,False
E14,PUMCH,China,False
E15,PUMCH,China,False
E16,PUMCH,China,False
E17,PUMCH,China,False
E18,PUMCH,China,False
E19,PUMCH,China,False
E20,PUMCH,China,False
E21,PUMCH,China,False
E22,PUMCH,China,False
E23,PUMCH,China,False
E24,PUMCH,China,False
E25,PUMCH,China,False
E27,PUMCH,China,False
E28,PUMCH,China,False
E3,PUMCH,China,False
E30,PUMCH,China,True
E31,PUMCH,China,False
E32,PUMCH,China,True
E33,PUMCH,China,False
E34,PUMCH,China,True
E35,PUMCH,China,False
E36,PUMCH,China,True
E37,PUMCH,China,False
E38,PUMCH,China,True
E39,PUMCH,China,False
E4,PUMCH,China,False
E40,PUMCH,China,False
E41,PUMCH,China,False
E42,PUMCH,China,False
E43,PUMCH,China,False
E44,PUMCH,China,False
E45,PUMCH,China,True
E46,PUMCH,China,True
E47,PUMCH,China,False
E48,PUMCH,China,False
E49,PUMCH,China,False
E5,PUMCH,China,True
E50,PUMCH,China,False
E51,PUMCH,China,False
E52,PUMCH,China,False
E53,PUMCH,China,False
E54,PUMCH,China,True
E56,PUMCH,China,False
E57,PUMCH,China,False
E58,PUMCH,China,False
E59,PUMCH,China,False
E6,PUMCH,China,False
E60,PUMCH,China,False
E61,PUMCH,China,False
E62,PUMCH,China,False
E63,PUMCH,China,False
E64,PUMCH,China,False
E65,PUMCH,China,False
E66,PUMCH,China,False
E67,PUMCH,China,True
E68,PUMCH,China,False
E69,PUMCH,China,False
E7,PUMCH,China,True
E70,PUMCH,China,False
E71,PUMCH,China,False
E72,PUMCH,China,False
E73,PUMCH,China,False
E74,PUMCH,China,False
E75,PUMCH,China,False
E78,PUMCH,China,False
E79,PUMCH,China,False
E80,PUMCH,China,False
E81,PUMCH,China,False
E9,PUMCH,China,False
FM14,UCD,Europe,True
FM41,UCD,Europe,False
GL1,UCD,Europe,True
GL105,UCD,Europe,True
GL11,UCD,Europe,False
GL110,UCD,Europe,True
GL122,UCD,Europe,True
GL134,UCD,Europe,True
GL14,UCD,Europe,False
GL15,UCD,Europe,True
GL16,UCD,Europe,False
GL18,UCD,Europe,False
GL21,UCD,Europe,False
GL23,UCD,Europe,True
GL28,UCD,Europe,False
GL29,UCD,Europe,True
GL31,UCD,Europe,False
GL37,UCD,Europe,False
GL6,UCD,Europe,True
GL62,UCD,Europe,True
GL74,UCD,Europe,True
GL79,UCD,Europe,True
GL84,UCD,Europe,False
GL85,UCD,Europe,True
GL87,UCD,Europe,True
MSK1,MSK,USA,True
MSK1004,MSK,USA,True
MSK1015,MSK,USA,True
MSK1082,MSK,USA,False
MSK1090,MSK,USA,False
MSK1119,MSK,USA,True
MSK1129,MSK,USA,True
MSK1191,MSK,USA,False
MSK1241,MSK,USA,False
MSK1258,MSK,USA,False
MSK1286,MSK,USA,False
MSK1298,MSK,USA,False
MSK1302,MSK,USA,False
MSK1324,MSK,USA,False
MSK1325,MSK,USA,False
MSK1394,MSK,USA,True
MSK1398,MSK,USA,True
MSK1399,MSK,USA,True
MSK1666,MSK,USA,False
MSK17,MSK,USA,True
MSK1700,MSK,USA,False
MSK1762,MSK,USA,True
MSK18,MSK,USA,True
MSK1882,MSK,USA,False
MSK1884,MSK,USA,False
MSK1891,MSK,USA,False
MSK1892,MSK,USA,False
MSK1894,MSK,USA,False
MSK1895,MSK,USA,False
MSK2,MSK,USA,True
MSK2057,MSK,USA,True
MSK2094,MSK,USA,True
MSK2107,MSK,USA,True
MSK2108,MSK,USA,True
MSK2123,MSK,USA,False
MSK2124,MSK,USA,False
MSK2159,MSK,USA,False
MSK2161,MSK,USA,True
MSK2162,MSK,USA,True
MSK2191,MSK,USA,True
MSK2199,MSK,USA,True
MSK2233,MSK,USA,False
MSK2234,MSK,USA,False
MSK2384,MSK,USA,True
MSK2386,MSK,USA,False
MSK2387,MSK,USA,True
MSK2389,MSK,USA,True
MSK2390,MSK,USA,True
MSK2399,MSK,USA,False
MSK2406,MSK,USA,False
MSK2412,MSK,USA,False
MSK2413,MSK,USA,False
MSK2415,MSK,USA,False
MSK2422,MSK,USA,False
MSK2425,MSK,USA,False
MSK2426,MSK,USA,False
MSK2448,MSK,USA,True
MSK2456,MSK,USA,True
MSK247,MSK,USA,False
MSK249,MSK,USA,False
MSK2499,MSK,USA,False
MSK250,MSK,USA,False
MSK2524,MSK,USA,False
MSK2529,MSK,USA,True
MSK264,MSK,USA,True
MSK2640,MSK,USA,True
MSK2646,MSK,USA,True
MSK2647,MSK,USA,True
MSK2648,MSK,USA,True
MSK2649,MSK,USA,True
MSK265,MSK,USA,False
MSK281,MSK,USA,False
MSK282,MSK,USA,True
MSK296,MSK,USA,True
MSK297,MSK,USA,True
MSK314,MSK,USA,True
MSK315,MSK,USA,True
MSK33,MSK,USA,True
MSK34,MSK,USA,True
MSK478,MSK,USA,True
MSK485,MSK,USA,True
MSK489,MSK,USA,True
MSK49,MSK,USA,True
MSK490,MSK,USA,True
MSK5,MSK,USA,True
MSK51,MSK,USA,True
MSK520,MSK,USA,True
MSK522,MSK,USA,True
MSK543,MSK,USA,True
MSK544,MSK,USA,True
MSK620,MSK,USA,False
MSK624,MSK,USA,True
MSK65,MSK,USA,True
MSK67,MSK,USA,True
MSK794,MSK,USA,True
MSK795,MSK,USA,True
MSK799,MSK,USA,True
MSK800,MSK,USA,False
MSK802,MSK,USA,True
MSK803,MSK,USA,True
MSK804,MSK,USA,False
MSK806,MSK,USA,True
MSK807,MSK,USA,True
MSK808,MSK,USA,True
MSK809,MSK,USA,False
MSK810,MSK,USA,True
MSK811,MSK,USA,False
MSK812,MSK,USA,True
MSK813,MSK,USA,False
MSK814,MSK,USA,False
MSK815,MSK,USA,False
MSK844,MSK,USA,False
MSK846,MSK,USA,False
MSK848,MSK,USA,False
MSK850,MSK,USA,False
MSK891,MSK,USA,False
MSK923,MSK,USA,False
MSK925,MSK,USA,False
UWM1195,UWM,USA,False
UWM1196,UWM,USA,False
UWM1197,UWM,USA,False
UWM1198,UWM,USA,False
UWM1199,UWM,USA,True
UWM1204,UWM,USA,False
UWM1206,UWM,USA,False
UWM1207,UWM,USA,True
UWM1208,UWM,USA,False
