,strain,pop_num,mse,freq_s,deltag_s,deltag_r,hillcoef,K50_s,K50_r
0,249,one,0.009601333689745676,1.0,0.8790810532079174,,1.0688544291408884,5.449593441769163,
1,478,one,0.05146892956671828,1.0,0.13871665533018823,,5.614379221592318,0.5910443767116298,
2,620,one,0.009458570395626639,1.0,1.456956521942619,,1.044527734206911,4.762216608173183,
3,485,two,0.02780887619689226,0.9988429981007194,0.18646905436611427,0.07250231380393524,2.9321647836166935,0.013658858714775731,3.3864151869785277
4,489,two,0.15553403121499979,0.9980870678754862,3.1665908498619046,0.05303665535601363,20.373582597957338,1.217919507696023,16.140939004227693
5,490,two,0.09742452791399284,0.9999786410861634,4.947385343810794,0.04934010058960009,20.758591455705588,1.1945037343556548,16.59007568228032
6,794,two,0.44707404366775194,0.9935560985220748,0.15063787487371982,0.032827127820165634,204.47500967296347,0.8223993497391531,28.842030123909634
7,795,two,0.10591555214856278,0.9986839259870389,0.2307718140338273,0.068133028089893,33.54311737699246,0.29416441082898237,17.18131373083644
8,799,two,0.07798006037251673,0.9980000372509477,9.009009009008743,0.030114359413697816,3.362694359491667,6.85786459110632,14.79779043335405
9,800,two,0.0,0.9896103054547387,0.6434788142907797,0.6416006270419484,2.4926490836267288,1.1843802425391772,5.4479422416663335
10,802,two,0.08701173210441035,0.9936313480153611,0.3587395521089869,0.048817127828419994,3.9340801873182536,1.0831987435039174,5.795652319711944
11,803,two,0.009523428776107146,0.9991948151326667,5.172807401056679,2.837048391167301,2.8271469206021482,3.5693629979191863,22.791350660989433
12,804,one,0.008705781678573847,1.0,0.7530173532819859,,1.0034673665028002,2.4206989539783703,
13,806,two,0.1553337330159395,0.9999064513457774,4.2040431757170476,2.7999497267763487,14.781593435633425,1.3388975057337613,10.03758046122836
14,807,two,0.09923913511121818,0.9999784677399202,0.32114142649134275,0.3211413006777722,1.7208986520045217,0.9070221271737893,34.76660851910491
15,808,two,0.07841082085495384,0.8945709150789988,1.1015613793126349,0.06351251487530783,25.39534076688456,1.1509152442614563,16.070607055493937
16,809,two,0.0,0.7465612469740428,7.505764299653699,7.503625307560638,4.940839946707122,1.3011010342732054,7.848526060828873
17,810,two,0.1965102141693358,0.9997921056440578,0.7586713945878131,0.7586710096448563,1.0431826148255028,8.087549442779297,91.93963612686676
18,811,one,0.009080227579800714,1.0,2.052431659110465,,1.0053648595731544,6.100078221654296,
19,812,two,0.02682223505992169,0.992190229323736,0.31379935853957935,0.09033764780286002,1.9436579767703879,2.5124410060590794,2.512441180502387
20,813,one,0.009596422486714428,1.0,0.4235947060843946,,1.9126946980823551,1.3575549785775511,
21,814,one,0.00958962570960109,1.0,0.4484314949397831,,1.1645888496288008,1.2138284886544235,
22,815,one,0.007784532428542493,1.0,0.42258876531586137,,1.8119091054691692,1.3225288072684602,
23,1191,one,0.008126301637016307,1.0,3.441267914591534,,1.6963480291796358,4.110397295234903,
24,1003,two,0.14975309790887212,0.9101792245268588,0.2623540924972789,0.152155780365678,1.3996343186027989,2.826460838895489,2.82646087746877
25,1004,two,0.08293244307772901,0.999120224941633,0.3187667150864815,0.31876402100364204,1.000002512437005,3.315802056663919,206.60174144904957
26,1015,two,0.09030196233314904,0.9995827953769868,0.19592316775418345,0.19592306645640872,3.8424254241039777,1.1530837283246231,53.095087730325666
27,1016,one,0.008337915690696918,1.0,2.8944965490734416,,1.2328979680199685,5.992785642301928,
28,1666,one,0.009275767400563325,1.0,5.377925725123037,,1.8495069697705424,4.737784755462569,
29,1667,one,0.005665596597294185,1.0,2.1174338655913907,,1.1825682360243803,4.789504150973069,
30,1082,one,0.00945304506815458,1.0,6.176090409528794,,1.5012147921933665,7.4897627765061525,
31,1083,one,0.007712187711058735,1.0,0.5190522119162236,,2.169269545050238,0.907184807570137,
32,1090,one,0.009641896431642023,1.0,1.3336924149962421,,1.0752803360103902,4.035326130668837,
33,1091,one,0.009080227579800043,1.0,1.2542645523786387,,1.0276935421918003,3.26642957644317,
34,1119,two,0.13129107564645473,0.9619144657270864,0.19263549033139826,0.19263545802532123,4.0468841453217586,1.4266786723710916,14.607706591029245
35,1120,two,0.057398226814016094,0.9544729689985633,1.1163749823754339,0.15630377576833987,4.693004245928922,1.6970874357060919,9.677770948249083
36,1129,two,0.017568144724510248,0.8964858674953399,8.915118363199271,0.16396860811260033,3.945322922794259,4.08591666773804,13.252006824967722
37,1130,two,0.07454669340563531,0.9225593238474001,4.564326927595058,0.15087845462675467,3.5317187370590037,3.3727599844406106,10.153643149139564
38,1241,one,0.00947504767313588,1.0,0.8079598806870785,,1.1022033827538271,2.758259565589955,
39,1242,one,0.005273394553058184,1.0,0.28958754015794713,,3.891168768222417,0.29346141066234943,
40,1257,one,0.00843717289147777,1.0,3.8402256343220134,,1.1732284276729876,8.545587926241579,
41,1258,one,0.009080227579800043,1.0,1.1354302196014026,,1.0186461993962936,2.902501290641411,
42,1298,two,0.08046693687510727,0.9997171414241295,2.335772124692193,2.335746962326713,15.664287535020502,0.4834074074418862,4.824942464920541
43,1299,two,0.0,0.9989933607272545,0.3638958653539657,0.3568111914640779,5.9933245519613525,0.41299214095136033,3.710550881788218
44,1302,one,0.009472746736448835,1.0,3.5669486376422967,,1.746926350689472,4.036305257266424,
45,1303,one,0.00819751719939256,1.0,7.697134127162261,,1.468403728991673,9.157629117685344,
46,1286,one,0.009080227579801385,1.0,0.4012676005257352,,2.940913164653105,0.7321437261383872,
47,1287,one,0.007578148258401671,1.0,3.9737591968556782,,1.9329446822092122,3.7474028624518065,
48,1294,one,0.007946763774492695,1.0,0.4297282323114644,,2.884558515477831,0.7854558517572878,
49,1295,one,0.009854261575201528,1.0,2.301323457728826,,1.5162089668840084,3.619274379708649,
50,1324,one,0.009605605163742011,1.0,0.4919889437109967,,1.0133656402666646,2.7808337609593576,
51,1325,two,0.010967600485811404,0.9999883629880453,1.2838306496201588,1.282642160326916,22.80752769329811,0.4720587206279347,4.598441826002212
52,1694,two,0.00892144262656816,0.9999847952588052,0.3506180801401628,0.10867071019161455,3.365319062456086,0.6178008206997961,3.7311087073686577
53,1700,two,0.0072831972871607335,0.9999687204364364,0.35764927883533826,0.12222122252505102,2.0536696146207567,0.41530687483848117,3.3693919093037508
54,1394,two,0.011332241493245958,0.999934211979657,0.38317999100034006,0.3831786511126853,1.1237052947572734,2.6546743852375716,349.75868735292505
55,1395,two,0.08146440637625557,0.9998130109166721,0.2681780160436044,0.2681779544780146,1.0849860582016626,1.1377351397003936,145.98901466794166
56,1398,one,0.4218127621014602,1.0,0.24547979716444934,,1.4507462329122558,0.2296630694330745,
57,1399,two,0.03237920804032509,0.9998578393936404,0.29848822246512463,0.29848798041429825,2.589847400918081,1.1679455409823678,36.87184173055543
58,1762,two,0.05798166207481255,0.9990346862872321,0.2366183434568577,0.23661780833720475,2.2132484770726353,1.1345990305048352,49.16972601725085
59,1763,two,0.057924697687319546,0.9990279315235389,0.24272385821172118,0.24272372472633,2.1656302289102847,1.1620712149343435,51.141228941051885
60,2057,two,0.13404061421488367,0.999169676953955,0.17578815061080763,0.17578797090896614,9.384266485213711,0.7692746376395344,10.315673054808713
61,2091,two,0.19173917711372243,0.997721875697156,4.158331365325261,4.157682019369201,1.4890214857580315,11.92841512833133,654.3460095326079
62,2094,two,0.07824932194966275,0.9993979738604964,0.28943772216590896,0.049280314992001716,28.15536611495252,1.0118241120356817,15.355626880624305
63,2107,two,0.14529531818402278,0.9999464014286338,1.0756245806658464,1.0756241583638626,1.0001746240043679,12.005124093802834,203.0845359631425
64,2108,two,0.009858766213889508,0.9997008926056435,2.964871255579385,0.19830490116143143,4.151232687141972,2.4259626778325956,7.263380223684245
65,2123,one,0.0024453955037532934,1.0,0.28807466044602353,,2.5463243731027667,0.08631988719054645,
66,2124,one,0.009009905763681922,1.0,6.670238861148542,,1.2437458200326643,12.12144114599627,
67,2233,two,9.320922378513538e-12,0.999899999999996,0.2945796153523801,0.29439704729983096,42.57675578480294,0.9084713007161214,3.6741058342059003
68,2234,one,0.009142502533440507,1.0,0.5158577685255628,,1.0031786182272273,1.5962119199472429,
69,2384,two,0.10301349845787099,0.999796710254815,2.2018297383715866,0.05248876060045011,5.603045584745817,1.6538542207656988,8.592681564646673
70,2386,one,0.00806714679893299,1.0,4.218906668016076,,1.2655852810795551,7.914727415348569,
71,2387,two,0.044450385550471094,0.9995922037191557,6.045882136132324,6.04588051338211,1.8207322844270648,8.626337499501703,266.3319776406922
72,2389,two,0.2255047215663719,0.999834731507497,3.6291215671743466,0.4141911987574181,21.65574905566004,1.1429702729312428,33.60863065337616
73,2390,two,0.15223190996701053,0.9998871597896645,9.974766581756208,9.972940006458836,4.458055451185741,0.27001060602226,89.96324908483058
74,1,two,0.13896060604493102,0.9909143971370526,0.7158605311806586,0.019873503772119917,24.43003849646252,1.1077616084312538,15.665916859207805
75,2,two,0.10274668862023904,0.9980157880476906,0.3253025659470352,0.043159891441828475,22.704712233239615,1.064236703012113,16.904003557850125
76,5,two,0.17102777652186243,0.999031643786991,1.1814086531656343,0.7700902485233687,22.740144406994865,1.1385953179418302,37.143783050295774
77,265,one,0.007490472078172931,1.0,1.195132405476857,,1.8818869098768018,3.689123066343883,
78,282,two,0.11580611638011547,0.9997883798708397,8.789853776397468,2.362610185124737,22.882214513465865,2.365525984918879,39.15959627514632
79,315,two,0.008080496035033002,0.9992899999994251,0.2440036847822613,0.01865383437122196,28.40683508469965,1.159001017634726,8.125014882747163
80,297,two,0.022179376259877603,0.9987191380410437,0.16301789312445006,0.1630176351199241,1.582901941202637,0.7328250039097399,132.88325435170935
81,296,two,0.11180882339078571,0.9992962621444389,6.676801881979017,0.7844442095352435,22.891614115534285,2.3550183403771885,37.198994209849275
82,65,two,0.27846354318072436,0.9996504130971625,5.235051912646306,0.025092232113924428,26.04911691602503,1.1390009917192767,7.8595182461250905
83,17,two,0.07779889831434317,0.9996236444248926,0.23470985324528285,0.04503986226125952,18.378462519822346,0.9712832483064376,6.519859114474032
84,18,two,0.0759085797767889,0.9999208546543191,0.2395232362747738,0.23952274086744232,1.0000000000003184,0.6730976338651246,177.09876328438406
85,33,two,0.09487897258233619,0.9987155235418345,1.0838789085029439,0.03987371698443468,4.636768483678814,1.6281836339424338,6.436955936060316
86,34,two,0.05157873458350742,0.9985007414745023,0.27665423422664376,0.04141965442635315,24.480869954236844,1.001749133739806,3.9653288533448725
87,49,two,0.09046099883918353,0.9996363996892808,1.8953987096076086,0.029093233272129964,21.687239944941496,1.1322541012176797,7.494482121755546
88,51,two,0.19828686125887382,0.9987581968437289,9.149095242316506,0.10373156070860559,1.457547913555358,21.08883369114865,39.96096675371071
89,67,two,0.1888200578163448,0.9993914524053319,2.481481798638182,0.03831098902952817,37.575622622305175,1.0906250895078202,5.6577437532998855
90,247,one,0.008705781678574519,1.0,0.7917769619476536,,1.1267023140065195,2.338767145499314,
91,250,one,0.009630801654340935,1.0,2.924910584159107,,1.2474818759377237,5.926461795782654,
92,264,two,0.11193569929208327,0.9996500696712252,2.2028032109357127,0.021940259419269238,35.50526641696696,1.0766822640606226,5.741482899204046
93,281,one,0.009031827122705493,1.0,4.880684826957194,,1.4231090469083214,7.024194125112455,
94,314,two,0.05163824359054115,0.9997785782872362,0.21752178576300005,0.21752164274747665,2.6318185231069093,0.860838418869376,55.58082395940941
95,624,two,0.09882018956788588,0.9992295870804814,9.950761629891508,9.950741612124286,1.0000000000000002,1.2924319969451799,4919.425944061731
96,520,two,0.10586079416326023,0.9996532234232439,0.21268353694851533,0.21268010681965124,1.1375578734243623,0.3909077335884368,137.88684750328366
97,522,two,0.1376439801481609,0.9958735765946194,0.5394433002051988,0.10421937939005466,1.0000000000000002,2.3525764460424297,4.463963054635492
98,543,two,0.039605719308996014,0.9993369180831362,0.7143333455645146,0.05108532191466197,23.3881058896288,1.0592653687740516,17.081841833739453
99,544,two,0.2223046289205228,0.9993295418688926,0.27328358788550106,0.2732834327147139,1.0068605375641417,0.7322248457641661,116.96054262062086
100,2159,one,0.00954359155382654,1.0,1.6491815202288678,,1.014509755188634,7.025316743620918,
101,2160,two,0.12993092141036136,0.9968807634212488,0.2317510284955549,0.09431126711003322,1.3425105121110996,0.001366249394665807,3.090790920884036
102,2161,two,0.2700041842708125,0.9979999999967798,0.23041228822147097,0.06663468783911393,32.883915366527724,0.8898648237906848,1.985332045060284
103,2162,two,0.33298830569715754,0.9993351975019844,2.72324123673997,2.7232401652851106,1.4698316487258478,8.018570227985157,242.56094762159327
104,2086,two,0.16995395505521219,0.9995369941014379,9.99999999999139,9.999999999989585,1.2009714714342878,1.352588080341692,1768.0875159738703
105,1882,one,0.005414395927410349,1.0,0.287574479983628,,3.090324199935263,0.08531611030088831,
106,1884,one,0.00903177428971894,1.0,5.250613833995272,,1.6726466828616224,5.500518308157756,
107,1891,one,0.008379155770957283,1.0,0.37680301759048246,,1.4096221264335569,0.8775132048151516,
108,1892,one,0.009372832278547587,1.0,0.7166155814691008,,1.7728207001762455,1.4910008102094314,
109,1894,one,0.009763582797045135,1.0,1.8883581560985119,,1.002079073574683,8.171984048184267,
110,1895,two,0.0,0.999951656950671,0.8837689580412076,0.8816836970066453,2.243912559453391,0.2359420205348603,11.117254843595967
111,2134,two,0.05458412976403019,0.9992301754800097,0.9260157117405906,0.008344900578158319,37.66924306388163,1.0422308514177498,5.649139548907722
112,2141,two,0.06412008933008871,0.9980001644804595,0.3006306116678014,0.026069677088458386,30.506978435270145,1.0076492805711155,4.067178545776988
113,2399,one,0.007623748670559112,1.0,7.084533482753319,,1.477017992307828,8.525597792903632,
114,2406,one,0.008204259002432502,1.0,2.6325103193976505,,1.5933497175592188,3.7396824344265096,
115,2412,one,0.008482254315005456,1.0,6.901082010538544,,1.795828318957859,5.7408279743182,
116,2413,two,0.008168467646332623,0.9999606501542111,0.5000283977543791,0.14518984876841676,4.090850397451136,0.9534674586715322,3.368302810268234
117,891,one,0.008503842692308724,1.0,5.094208964766727,,1.3047927922689586,8.67767606559498,
118,923,one,0.0069622420582002575,1.0,2.1373351370680016,,2.559142608944546,2.071604366115985,
119,925,one,0.008807914521793097,1.0,2.7973885092280937,,1.1237992242811834,6.895171130586952,
120,2191,two,0.009494865042773663,0.9991619276925426,5.349011327001565,2.2905811901128224,3.1923050006774365,3.9263042800721526,18.81459593834421
121,2199,two,0.009934504087587627,0.9364434758703967,0.6863793568301909,0.3289497962383753,1.7575611856995734,4.182958091571984,4.933878037133292
122,2640,two,0.12355509161002827,0.9964644664747839,0.4091947726253366,0.03352996714730582,26.885270348550982,1.0404716796478577,7.6243522579839835
123,2646,two,0.3529389765943539,0.9997289564793032,0.2107998600259151,0.02521108875274387,45.68435992824704,0.14236835480419519,29.543778473702364
124,2647,two,0.19754011876724986,0.9997735034677894,0.23746906592523764,0.03810750517400199,197.978943415925,0.4439238872790945,28.587533504358642
125,2648,two,0.22228137098217027,0.9997935955019662,0.23247465808008805,0.015097242506369957,36.8726329361496,0.9261794179484619,17.39890207222539
126,2649,two,0.2034015987403164,0.9992440222812714,0.19318557538996295,0.01716591200130928,46.60641102935392,0.16070331356962275,28.695623119773217
127,2448,two,0.0041557268110315616,0.999899999999999,0.29533621422978484,0.1469309886841903,54.33246830144815,0.9566855104650013,12.881993420387627
128,2456,two,0.06420081364232842,0.9996184283855729,5.975344060794136,0.3643552375940581,22.4141150862754,1.1783255551434872,16.480932040020097
129,2415,one,0.009751600614215622,1.0,0.9859199765129414,,1.000647914075803,3.004917713152717,
130,2422,one,0.008624657434972666,1.0,0.6916337758056577,,1.0185616995299527,1.5280100777205816,
131,2499,two,3.7532388518380547e-16,0.9981173282370903,0.48090975709592154,0.4785246384562009,3.333080352080931,1.003048097216296,4.807698604793287
132,2425,two,0.009956877423893626,0.9992979889956651,1.9124000887937616,0.34408749267851346,3.800194209986488,1.7374652259286136,4.465951127577403
133,2426,two,0.0,0.9991196331507044,4.226385933004683,4.223769202096168,4.017832364130586,0.4825376730769051,9.239526621251677
134,2524,one,0.009886110082008154,1.0,6.226887470632637,,1.7405036406276067,5.707383562461068,
135,2529,two,0.04058072521665015,0.9999505128343023,0.3297341904820401,0.08234299443525846,27.54059361775513,0.6101172668887211,4.114885430841399
136,1195,one,0.008380447737574102,1.0,0.7792679441842563,,1.0008916806286772,1.9441707907818777,
137,1196,one,0.00847025528354424,1.0,0.9850669729877277,,1.0249570817879812,3.498187899357322,
138,1197,one,0.007805624358226863,1.0,2.9076439277509043,,1.3733671485662762,5.0072568669849336,
139,1198,two,0.008730949915731876,0.9999673584217678,0.3100455892312426,0.2278952077183208,2.73809607476347,0.3338500791750496,4.994467102711705
140,1199,two,0.22774333443453548,0.9999701780165142,1.7739558499505825,0.010961545107953628,33.03423928681312,1.072134535712118,5.548478829547095
141,1204,one,0.008212138273563022,1.0,4.154025263123489,,1.5454429348764602,5.383761824107976,
142,1206,one,0.008714242353214339,1.0,4.017003937952342,,1.5022782174572809,5.5173748513864345,
143,1207,one,0.009221774119713056,1.0,9.469393566136016,,1.7897383455399707,16.019216414261976,
144,1208,two,0.08042190827684487,0.9997642828326999,1.1550794094560368,1.1548950048402742,17.802339011870476,0.20799665408979293,4.529601833418057
145,844,one,0.006880158837335801,1.0,4.443216748991833,,1.9138502318218427,4.041819226948265,
146,846,one,0.009412340962901966,1.0,1.5633203908459516,,1.0059859402442015,6.828336429164312,
147,848,one,0.009333718775401626,1.0,6.0790020725199705,,1.418143545986426,8.328843603692187,
148,850,one,0.009257122388671346,1.0,4.421125259496739,,2.206501488457261,3.351955303714742,
149,1351,one,0.006087316001578053,1.0,1.6398714355319512,,2.745512300423705,1.7588547613256291,
150,1617,one,0.00872829559989471,1.0,1.8051391849593883,,1.2246928271387474,5.9299145746122255,
151,CDC335,one,0.008295523483569144,1.0,1.3749677316685804,,1.0214152272356132,4.12303881484775,
152,CDC336,one,0.009116891428437555,1.0,4.582431018224669,,1.831814930333373,4.383317942320505,
153,CDC337,one,0.008311950096867868,1.0,3.6961054528434243,,1.1396789788119386,8.777483334524428,
154,CDC338,one,0.008588620508978496,1.0,4.671461324620595,,1.895781217647811,4.214925043126467,
155,CDC339,one,0.007736221776248628,1.0,3.3339440627570367,,1.8502128267011373,3.586439183544677,
156,CDC340,one,0.05253360655030877,1.0,0.8323613522970474,,1.003295985862527,2.3167078180582816,
157,CDC341,one,0.009080215221657561,1.0,2.1561827173446613,,1.0494063047648141,5.97042719125029,
158,CDC342,one,0.009275029210924901,1.0,0.4448808686926909,,3.5473195439851164,1.6914417801152763,
159,CDC343,two,0.05849051836118221,0.9998841486461573,1.7530709128129738,0.07107977575246144,4.060405079458804,1.8718421336396358,16.567624160463385
160,CDC344,two,0.2843498846544178,0.7201344032164896,0.2708717319723262,0.27087171976900554,1.5921251285910194,0.19219139755302414,5.331109514556095
